0.00               5385464      -0.0028664     -3.8424e-08      0.00019602
0.02                217815     -9.7815e-05     -1.3112e-09      3.6211e-05
0.04                126221     -8.1977e-05     -1.0989e-09       3.315e-05
0.06                 92574     -7.4899e-05      -1.004e-09      3.1686e-05
0.08                 72229     -7.0063e-05      -9.392e-10      3.0646e-05
0.10                 59237     -6.6342e-05     -8.8931e-10      2.9821e-05
0.20                 30883     -5.0975e-05     -6.8332e-10       2.614e-05
0.22                 28275     -4.8505e-05     -6.5022e-10      2.5499e-05
0.24                 26102     -4.6213e-05     -6.1949e-10      2.4889e-05
0.26                 24254     -4.4081e-05     -5.9091e-10      2.4309e-05
0.28                 22658     -4.2089e-05     -5.6421e-10      2.3753e-05
#0.30                109746     -2.6531e-07     -3.5565e-12      1.8859e-06
#0.32                 95358     -3.1316e-07     -4.1979e-12      2.0489e-06
0.34                 18968      -3.692e-05     -4.9491e-10      2.2247e-05
0.36                 18004     -3.5455e-05     -4.7528e-10      2.1801e-05
0.38                 17141     -3.4105e-05     -4.5717e-10      2.1382e-05
0.40                 16364     -3.2876e-05     -4.4071e-10      2.0993e-05
0.50                 13367     -2.8333e-05     -3.7981e-10      1.9489e-05
0.60                 11324     -2.6204e-05     -3.5126e-10      1.8742e-05
0.70                  8017     -2.5075e-05     -3.3613e-10      1.8334e-05
0.80                  4922     -2.3176e-05     -3.1067e-10      1.7626e-05
0.90                  2426     -1.9147e-05     -2.5666e-10      1.6021e-05
1.00                   373     -8.0617e-35     -1.0807e-39      3.2874e-20
